topic,title,text
35,Liability of manager of a company,"(1) Every person being a manager at any time during the 
financial year shall be jointly and severally liable for the payment of any amount due under this Act in 
respect of the company for the financial year, if the amount cannot be recovered from the company. 

(2) The provisions of sub-section (1) shall not apply, if the manager proves that non-recovery cannot 
be attributed to any neglect, misfeasance or breach  of duty on his part in  relation  to the affairs of the 
company. 

(3)  The  provisions  of  this  section  shall  prevail  over  anything  to  the  contrary  contained  in  the 

Companies Act, 2013 (18 of 2013). 

(4)  In  this  section,  “manager”  shall  include  a  managing  director  and  both  shall  have  the  meaning 
respectively assigned to  them in clause (53) and clause (54) of section 2 of the Companies Act, 2013 
(18 of 2013). 

"
36,Joint  and  several  liability  of  participants,"(1)  Every  person,  being  a  participant  in  an 
unincorporated body at any time during the financial year, or the representative assessee of the deceased 
participant, shall be jointly and severally liable, along with the unincorporated body, for payment of any 
amount payable by the unincorporated body under this Act and all the provisions of this Act shall apply 
accordingly. 

(2) In case of a limited liability partnership, the provisions of sub-section (1) shall not apply, if the 
partner proves that non-recovery cannot be attributed to any neglect, misfeasance or breach of duty on his 
part in relation to the affairs of the partnership. 

(3) The provisions of this section shall prevail over anything to the contrary contained in the Limited 

Liability Partnership Act, 2008 (6 of 2009). 

19 

"
37,Recovery through State Government,"If the recovery of tax in any area has been entrusted to 
a State Government under clause (1) of article 258 of the Constitution, the State Government may direct, 
with respect to that area or any part thereof, that tax shall be recovered therein with, and as an addition to, 
any municipal tax or local rate, by the same person and in the manner as the municipal tax or local rate is 
recovered. 

"
38,"Recovery  of  tax  dues  in  pursuance  of  agreements  with  foreign  countries  or  specified 
territory","(1) The Tax Recovery Officer may, in a case where an assessee has property in a country or a 
specified territory outside India, forward a certificate to the Board for recovery of the tax arrears from the 
assessee,  where  the  Central  Government  or  any  specified  association  in  India  has  entered  into  an 
agreement with that country or territory under section 90 or section 90A of the Income-tax Act or under 
sub-sections (1), (2) or sub-section (4) of section 73 of this Act, as the case may be, for the purposes of 
recovery of tax. 

(2) On receipt of the certificate under sub-section (3) from the Tax Recovery Officer, the Board may 
take such action thereon as it may deem appropriate having regard to the terms of the agreement with 
such country or a specified territory. 

"
39,Recovery  by  suit  or  under  other  law  not  affected,(
40,Interest  for  default  in  furnishing  return  and  payment  or  deferment  of  advance  tax,"(1) 
Where the assessee has any income from a source outside India which has not been disclosed in the return 
of income furnished under sub-section (1) of section 139of the Income-tax Act or the return of income 
has  not  been  furnished  under  the  said  sub-section,  interest  shall  be  chargeable  in  accordance  with  the 
provisions of section 234A of the Income-tax Act. 

(2) Where the assessee has any undisclosed income from a source outside India and the advance tax 
on such  income  has  not been paid in accordance with  Part C of Chapter XVII of the  Income-tax Act, 
interest  shall  be  chargeable  in  accordance  with  the  provisions  of  sections  234B  and  234C  of  the  
Income-tax Act. 

CHAPTER IV 

PENALTIES

"
41,Penalty  in  relation  to  undisclosed  foreign  income  and  asset,"The  Assessing  Officer  may 
direct  that  in  a  case  where  tax  has  been  computed  under  section  10  in  respect  of  undisclosed  foreign 
income and asset, the assessee shall pay by way of penalty, in addition to tax, if any, payable by him, a 
sum equal to three times the tax computed under that section. 

"
42,Penalty for failure to furnish return in relation to foreign income and asset,"If a person, 
being a resident other than not ordinarily resident in India within the meaning of clause (6) of section 6 of 
the Income-tax Act, who is required to furnish a return of his income for any previous year, as required 

20 

under sub-section (1) of section 139 of the Income-tax Act or by the provisos to that sub-section, and who 
at any time during such previous year,— 

(i) held any asset (including financial interest in any entity) located outside India as a beneficial 

owner or otherwise; or 

(ii) was a beneficiary of any asset (including financial interest in any entity) located outside India; 

or 

(iii) had any income from a source located outside India, 

and fails to furnish such return before the end of the relevant assessment year, the Assessing Officer may 
direct that such person shall pay, by way of penalty, a sum of ten lakh rupees: 

Provided that this section shall not apply in  respect of  an  asset, being one or more  bank accounts 
having an aggregate balance which does not exceed a value equivalent to five hundred thousand rupees at 
any time during the previous year. 

Explanation.—For  determining  the  value  equivalent  in  rupees  of  the  balance  in  an  account 
maintained in foreign currency, the rate of exchange for calculation of the value in rupees shall be the 
telegraphic transfer buying rate of such currency as on the date for which the value is to be determined as 
adopted by the State Bank of India constituted under the State Bank of India Act, 1955 (23 of 1955). 

43.  Penalty  for  failure  to  furnish  in  return  of  income,  an  information  or  furnish  inaccurate 
particulars about an asset (including financial interest in any entity) located outside India.—If any 
person, being a resident other than not ordinarily resident in India within the meaning of clause (6) of 
section  6  of  the  Income-tax  Act,  who  has  furnished  the return  of income  for  any  previous  year under  
sub-section (1) or sub-section (4) or sub-section (5) of section 139 of the said Act, fails to furnish any 
information  or  furnishes  inaccurate  particulars  in  such  return  relating  to  any  asset  (including  financial 
interest in any entity) located outside India, held by him as a beneficial owner or otherwise, or in respect 
of which he was a beneficiary, or relating to any income from a source located outside India, at any time 
during such previous year, the Assessing Officer may direct that such person shall pay, by way of penalty, 
a sum of ten lakh rupees: 

Provided that this section shall not apply in  respect of  an  asset, being one or more  bank accounts 
having an aggregate balance which does not exceed a value equivalent to five hundred thousand rupees at 
any time during the previous year. 

Explanation.—The  value  equivalent  in  rupees  shall  be  determined  in  the  manner  provided  in  the 

Explanation to section 42. 

"
44,Penalty for default in payment of tax arrear,"(1) Every person who is an assessee in default, 
or an assessee deemed to be in default, as the case may be, in making payment of tax, and in case of 
continuing default by such assessee, he shall be liable to a penalty of an amount, equal to the amount of 
tax arrear. 

(2) An assessee shall not cease to be liable to any penalty under sub-section (1) merely by reason of 

the fact that before the levy of such penalty he has paid the tax. 

"
45,Penalty  for  other  defaults,"(1)  A  person  shall  be  liable  to  a  penalty  if  he  has,  without 

reasonable cause, failed to— 

(a) answer any question put to him by a tax authority in the exercise of its power sunder this Act; 
(b) sign any statement made by him in the course of any proceedings under this Act which a tax 

authority may legally require him to sign; 

21 

(c) attend  or produce books of  account or  documents  at the  place or time, if he is required  to 
attend or to give evidence or produce books of account or other documents, at certain place and time 
in response to summons issued under section 8. 
(2) The penalty referred to in sub-section (1) shall be a sum which shall not be less than fifty thousand 

rupees but which may extend to two lakh rupees. 

"
46,Procedure,"(1)  The  tax  authority  shall,  for  the  purposes  of  imposing  any  penalty  under  this 
Chapter, issue a notice to an assessee requiring him to show cause why the penalty should not be imposed 
on him. 

(2) The notice referred to in sub-section ("
47,Bar of limitation for imposing penalty,"(1) No order imposing a penalty under this Chapter 
shall be passed after the expiry of a period of one year from the end of the financial year in which the 
notice for imposition of penalty is issued under section 46. 

(2) An order imposing, or dropping the proceedings for imposition of, penalty under this Chapter may 
be revised, or revived, as the case may be, on the basis of assessment of the undisclosed foreign income 
and  asset  as  revised  after  giving  effect  to  the  order  of  the  Commissioner  (Appeals),  the  Appellate 
Tribunal, the High Court or the Supreme Court or order of revision under section 23 or section 24. 

(3) An order revising or reviving the penalty under sub-section (2) shall not be passed after the expiry 
of a period of six months from the end of the month in which order of the Commissioner (Appeals), the 
Appellate  Tribunal,  the  High  Court  or  the  Supreme  Court  is  received  by  the  Principal  Chief 
Commissioner  or the  Chief  Commissioner  or  the  Principal  Commissioner  or  the  Commissioner  or the 
order of revision under section 23 or section 24 is passed. 

(4) In computing the period of limitation for the purposes of this section, the following time or period 

shall not be included— 

(a) the time taken in giving an opportunity to the assessee to be reheard under section 7; and 

1. Ins. by Act 13 of 2018, s. 219 (w.e.f. 1-4-2018).  

22 

(b) any period during which a proceeding under this Chapter for the levy of penalty is stayed by 

an order, or injunction, of any court. 

CHAPTER V 

OFFENCES AND PROSECUTIONS 

"
48,Chapter  not  in  derogation  of  any  other  law  or  any  other  provision  of  this  Act,"(1)  The 
provisions of this Chapter shall be in addition to, and not in derogation of, the provisions of any other law 
providing for prosecution for offences there under. 

(2) The provisions of this Chapter shall be independent of any order under this Act that may be made, 
or  has not  been  made,  on  any  person  and  it  shall  be  no  defence that  the  order  has  not  been  made  on 
account of time limitation or for any other reason. 

"
49,Punishment  for  failure  to  furnish  return  in  relation  to  foreign  income  and  asset,"If  a 
person, being a resident other than not ordinarily resident in India within the meaning of clause (6) of 
section  6  of  the  Income-tax  Act,  who  at  any  time  during  the  previous  year,  held  any  asset  (including 
financial  interest  in  any  entity)  located  outside  India  as  a  beneficial  owner  or  otherwise,  or  was  a 
beneficiary of such asset or had income from a source outside India and wilfully fails to furnish in due 
time the return of income which he is required to furnish under sub-section (1) of section 139 of that Act, 
he shall be punishable with rigorous imprisonment for a term which shall not be less than six months but 
which may extend to seven years and with fine: 

Provided that a person shall not be proceeded against under this section for failure to furnish in due 
time  the  return  of  income  under  sub-section  (1)  of  section  139  of  the  Income-tax  Act  if  the  return  is 
furnished by him before the expiry of the assessment year. 

50.  Punishment  for  failure  to  furnish  in  return  of  income,  any  information  about  an  asset 
(including financial interest in any entity) located outside India.—If any person, being a resident other 
than not ordinarily resident in India within the meaning of clause (6) of section 6 of the Income-tax Act, 
who has furnished the return of income for any previous year under sub-section (1) or sub-section (4) or 
sub-section (5) of section 139 of that Act, wilfully fails to furnish in such return any information relating 
to anasset (including financial interest in any entity) located outside India, held by him, as a beneficial 
owner or otherwise or in which he was a beneficiary, at any time during such previous year, or disclose 
any income from a source outside India, he shall be punishable with rigorous imprisonment for a term 
which shall not be less than six months but which may extend to seven years and with fine. 

"
51,Punishment for wilful attempt to evade tax,"(1) If a person, being a resident other than not 
ordinarily resident in India within the meaning of clause (6) of section 6 of the Income-tax Act, wilfully 
attempts in any manner whatsoever to evade any tax, penalty or interest chargeable or imposable under 
this Act, he shall be punishable with rigorous imprisonment for a term which shall not be less than three 
years but which may extend to ten years and with fine. 

(2) If a person wilfuly attempts in any manner whatsoever to evade the payment of any tax, penalty or 
interest under this Act, he shall, without prejudice to any penalty that maybe imposable on him under any 
other provision of this Act, be punishable with rigorous imprisonment for a term which shall not be less 
than three months but which may extend to three years and shall, in the discretion of the court, also be 
liable to fine. 

(3) For the purposes of this section, a wilful attempt to evade any tax, penalty or interest chargeable 

or imposable under this Act or the payment thereof shall include a case where any person— 

23 

(i)  has  in  his  possession  or  control  any  books  of  account  or  other  documents(being  books  of 
account or other documents relevant  to any proceeding under this Act) containing  a false entry or 
statement; or 

(ii) makes or causes to be made any false entry or statement in such books of account or other 

documents; or 

(iii)  wilfuly  omits  or  causes  to  be  omitted  any  relevant  entry  or  statement  in  such  books  of 

account or other documents; or 

(iv) causes any other circumstance to exist which will have the effect of enabling such person to 

evade any tax, penalty or interest chargeable or imposable under this Act or the payment thereof. 
"
52,Punishment  for  false  statement  in  verification,"If  a  person,  makes  a  statement  in  any 
verification under this Act or under any rule made thereunder, or delivers an account or statement which 
is false, and  which he either knows  or believes to be false,  or  does not believe to be true, he shall be 
punishable with rigorous imprisonment for a term which shall not be less than six months but which may 
extend to seven years and with fine. 

"
53,Punishment for abetment,"If a person abets or induces in any manner another person to make 
and deliver an account or a statement or declaration relating to tax payable under this Act which is false 
and  which  he  either  knows  to  be  false  or  does  not  believe  to  be  true  or  to  commit  an  offence  under  
sub-section (1) of section 51, he shall be punishable with rigorous imprisonment for a term which shall 
not be less than six months but which may extend to seven years and with fine. 

"
54,Presumption as to culpable mental state,"(1) In any prosecution for any offence under this Act 
which requires a culpable mental state on the part of the accused, the court shall presume the existence of 
such mental state but it shall be a defence for the accused to prove the fact that he had no such mental 
state with respect to the act charged as an offence in that prosecution. 

Explanation.—In this sub-section, “culpable mental state” includes intention, motive or knowledge of 

a fact or belief in, or reason to believe, a fact. 

(2) For the purposes of this section, a fact is said to be proved only when the court believes it to exist 
beyond  reasonable  doubt  and  not  merely  when  its  existence  is  established  by  a  preponderance  of 
probability. 

55.  1[Prosecution  to  be  at  instance  of  Principal  Chief  Commissioner  or  Principal  Director 
General  or  Chief  Commissioner  or  Director  General  or  Principal  Commissioner  or 
Commissioner].—(1) A person shall not be proceeded against for an offence under section 49 to section 
53  (both  inclusive)  except  with  the  sanction  of  the  Principal  Commissioner  or  Commissioner  or  the 
Commissioner (Appeals), as the case may be. 

(2) The Principal Chief Commissioner or the Chief Commissioner 2[or the Principal Director General 
or the Director General] may issue such instructions, or directions, to the tax authorities referred to in  
sub-section (1) as he may think fit for the institution of proceedings under this section. 

(3) The power of the Board to issue orders, instructions or directions under this Act shall include the 
power to issue orders, instructions or directions (including instructions or directions to obtain its previous 
approval)  to  other  tax  authorities  for  the  proper  initiation  of  proceedings  of  offences  (including  an 
authorisation to file and pursue complaints by one or more Inspectors of tax) under this section. 

1. Subs. by Act 13 of 2018, s. 219, for “Prosecution to be at instance of Principal Chief Commissioner or Chief Commissioner or 

Principal Commissioner or Commissioner” (w.e.f. 1-4-2018).  

2. Ins. by  s. 219, ibid. (w.e.f. 1-4-2018).  

24 

"
56,Offences  by  companies,"(1)  Where  an  offence  under  this  Act  has  been  committed  by  a 
company,  every  person  who,  at  the  time  the  offence  was  committed,  was  in  charge  of,  and  was 
responsible to, the company for the conduct of the business of the company as well as the company shall 
be  deemed  to  be  guilty  of  the  offence  and  shall  be  liable  to  be  proceeded  against  and  punished 
accordingly. 

(2) Nothing in sub-section (1) shall render any such person liable to any punishment if he proves that 
the offence was committed without his knowledge or that he had exercised all due diligence to prevent the 
commission of such offence. 

(3) Notwithstanding anything in sub-section (1), where an offence under this Act has been committed 
by a company and it is proved that the offence has been committed with the consent or connivance of, or 
is  attributable  to  any  neglect  on  the  part  of,  any  director,  manager,  secretary  or  other  officer  of  the 
company,  such  director,  manager,  secretary  or  other  officer  shall  also  be  deemed  to  be  guilty  of  that 
offence and shall be liable to be proceeded against and punished accordingly. 

(4)  Where  an  offence  under  this  Act  has  been  committed  by  a  person,  being  a  company,  and  the 
punishment  for  such  offence  is  imprisonment  and  fine,  then,  without  prejudice  to  sub-section  (1)  or  
sub-section (3), such company shall be punished with fine and every person, referred to in sub-section (1), 
or the director, manager, secretary or other officer of the company referred to in sub-section (3), shall be 
liable to be proceeded against and punished in accordance with the provisions of this Act. 

("
57,Proof of entries in records or documents,"(1) The entries in the records, or other documents, 
in the custody of a tax authority shall be admitted in evidence in any proceeding for the prosecution of 
any person for an offence under this Chapter. 

(2) The entries referred to in sub-section ("
58,Punishment for second and subsequent offences,"If any person convicted of an offence under 
section  49  to  section  53  (both  inclusive)is  again  convicted  of  an  offence  under  any  of  the  aforesaid 
provisions,  he  shall  be  punishable  for  the  second  and  every  subsequent  offence  with  rigorous 
imprisonment for a term which shall not be less than three years, but which may extend to ten years and 
with fine which shall not be less than five lakh rupees, but which may extend to one crore rupees. 

25 

CHAPTER VI 

TAX COMPLIANCE FOR UNDISCLOSED FOREIGN INCOME AND ASSETS 

"
59,Declaration of undisclosed foreign asset,"Subject to the provisions of this Chapter, any person 
may make, on or after the date of commencement of this Act but on or before a date to be notified by the 
Central  Government  in  the  Official  Gazette,  a  declaration  in  respect  of  any  undisclosed  asset  located 
outside India and acquired from income chargeable to tax under the Income-tax Act for any assessment 
year prior to the assessment year beginning on 1st day of April, "
60,Charge of tax,"Notwithstanding anything contained in the Income-tax Act or in any Finance 
Act, the undisclosed asset located outside India and declared under section 59 within the time specified 
therein shall be chargeable to tax at the rate of thirty per cent. of value of such undisclosed asset on the 
date of commencement of this Act. 

"
61,Penalty,"Notwithstanding anything contained in the Income-tax Act or in any Finance Act, the 
person making a declaration of undisclosed asset located outside India shall, in addition to tax charged 
under section 60, be liable to penalty at the rate of one hundred per cent. of such tax. 

"
62,Manner  of  declaration,"(1)  A  declaration  under  section  59  shall  be  made  to  the  Principal 
Commissioner or the Commissioner and shall be in such form and shall be verified in such manner as 
may be prescribed. 

("
63,Time  for  payment  of  tax,"(1)  The  tax  payable  under  section  60  and  penalty  payable  under 
section 61 in respect of the undisclosed asset located outside India, shall be paid on or before a date to be 
notified by the Central Government in the Official Gazette. 

(2) The  declarant shall  file the proof of payment of tax  and penalty on or before the date  notified 
under  sub-section  (1),  with  the  Principal  Commissioner  or  the  Commissioner  before  whom  the 
declaration under section 59 was made. 

(3) If the declarant fails to pay the tax in respect of the declaration made under section59 on or before 
the date notified under sub-section (1), the declaration filed by him shall be deemed never to have been 
made under this Chapter. 

"
64,Undisclosed  foreign  asset  declared  not  to  be  included  in  total  income,"The  amount  of 
undisclosed investment in an asset located outside India declared in accordance with section 59 shall not 
be included in the total income of the declarant for any assessment year under the Income-tax Act, if the 
declarant makes the payment of tax referred to in section 60 and the penalty referred to in section 61 by 
the date notified under sub-section (1) of section 63. 

"
65,Undisclosed  foreign  asset  declared  not  to  affect  finality  of  completed  assessments,"The 
declarant  shall  not  be  entitled,  in  respect  of  undisclosed  asset  located  outside  India  declared  or  any 
amount of tax paid thereon, to reopen any assessment or reassessment made under the Income-tax Act or 
the  Wealth-tax Act, 1957 (27 of 1957) or claim  any  set off or relief in any appeal, reference or other 
proceeding in relation to any such assessment or reassessment. 

"
66,Tax in respect of voluntarily disclosed asset not refundable,"Any amount of tax paid under 
section 60 or penalty paid under section 61 in pursuance of a declaration made under section 59 shall not 
be refundable. 

"
67,Declaration  not  admissible  in  evidence  against  declarant,"Notwithstanding  anything 
contained in any other law for the time being in force, nothing contained in any declaration made under 
section 59 shall be admissible in evidence against the declarant for the purpose of any proceeding relating 
to  imposition  of  penalty,  other  than  the  penalty  leviable  under  section  61,  or  for  the  purposes  of 
prosecution under the Income-tax Act or the Wealth-tax Act, 1957 (27 of 1957) or the Foreign Exchange 
Management Act,1999 (42 of 1999) or the Companies Act, 2013 (18 of 2013) or the Customs Act, 1962 
(52 of 1962) . 

"
68,Declaration by misrepresentation of facts to be void,"Notwithstanding anything contained in 
this  Chapter,  where  a  declaration  has  been  made  by  misrepresentation  or  suppression  of  facts,  such 
declaration shall be void and shall be deemed never to have been made under this Chapter. 

69.  Exemption  from  wealth-tax  in  respect  of  assets  specified  in  declaration.—(1)  Where  the 
undisclosed  asset located outside India  is represented by cash(including bank  deposits), bullion or  any 
other assets specified in the declaration made under section 59— 

(a)  in  respect  of  which  the  declarant  has  failed  to  furnish  a  return  under  section14  of  the  
Wealth-tax Act, 1957 (27 of 1957) for the assessment year commencing on or before the1st day of 
April, 2015; or 

27 

(b)  which  have  not  been  shown  in  the  return  of  net  wealth  furnished  by  him  for  the  said 

assessment year or years; or 

(c) which have been understated in value in the return of net wealth furnished by him for the said 

assessment  year  or  years,  then,  notwithstanding  anything  contained  in  the  Wealth-tax  Act,  1957         
(27 of "
71,Chapter not to apply to certain persons,"The provisions of this Chapter shall not apply— 

(a) to any person in respect of whom an order of detention has been made under the Conservation 

of Foreign Exchange and Prevention of Smuggling Activities Act, 1974 (52 of 1974): 

Provided that— 

(i) such order of detention, being an order to which the provisions of section 9 or section 12A 
of the said Act do not apply, has not been revoked on the report of the Advisory Board under 
section 8 of the said Act or before the receipt of the report of the Advisory Board; or 

(ii) such order of detention, being an order to which the provisions of section 9 of the said Act 
apply, has not been revoked before the expiry of the time for, or on the basis of, the review under 
sub-section (3) of section 9, or on the report of the Advisory Board under section 8, read with  
sub-section (2) of section 9, of the said Act; or 

(iii) such order of detention, being an order to which the provisions of section 12A of the said 
Act apply, has not been revoked before the expiry of the time for, or on the basis of, the first 
review under sub-section (3) of that section, or on the basis of the report of the Advisory Board 
under section 8, read with sub-section (6) of section 12A, of the said Act; or 

(iv) such order of detention has not been set aside by a court of competent jurisdiction; 

(b) in relation to prosecution for any offence punishable under Chapter  IX or Chapter XVII of 
the  Indian  Penal  Code  (45  of  1860),  the  Narcotic  Drugs  and  Psychotropic  Substances  Act,  1985 
(61  of  1985),  the  Unlawful  Activities  (Prevention)  Act,  1967  (37  of  1967),  the  Prevention  of 
Corruption Act, 1988 (49 of 1988); 

28 

(c)  to  any  person  notified  under  section  3  of  the  Special  Court  (Trial  of  Offences  Relating  to 

Transactions in Securities) Act, 1992 (27 of 1992). 

(d)  in  relation  to  any  undisclosed  asset  located  outside  India  which  has  been  acquired  from 
income chargeable to tax under the Income-tax Act for any previous year relevant to an assessment 
year prior to the assessment year beginning on the 1st day of April, "
72,Removal of doubts,"For the removal of doubts, it is hereby declared that— 

(a)  save  as  otherwise  expressly  provided  in  the  Explanation  to  sub-section  (1)of  section  69, 
nothing  contained  in  this  Chapter  shall  be  construed  as  conferring  any  benefit,  concession  or 
immunity on any person other than the person making the declaration under this Chapter; 

(b) where any declaration has been made under section 59 but no tax and penalty has been paid 
within the time specified under section 60 and section 61, the value of such asset shall be chargeable 
to tax under this Act in the previous year in which such declaration is made; 

(c)  where  any  asset  has  been  acquired  or  made  prior  to  commencement  of  this  Act,  and  no 
declaration in respect of such asset is made under this Chapter, such asset shall be deemed to have 
been  acquired  or  made  in  the  year  in  which  a  notice  under  section  10  is  issued  by  the  Assessing 
Officer and the provisions of this Act shall apply accordingly. 

CHAPTER VII 

GENERAL PROVISIONS 

"
73,Agreement with foreign countries or specified territories,(
74,Service of notice generally,"(1) The service of any notice, summons, requisition, order or any 
other communication under this Act (herein referred to in this section as “communication”) may be made 
by delivering or transmitting a copy thereof, to the person named therein,— 

(a) by post or by such courier service as may be approved by the Board; 
(b)  in  such  manner  as  provided  under  the  Code  of  Civil  Procedure,  1908  (5  of  1908)  for  the 

purposes of service of summons; 

(c) in the form of any electronic record as provided in Chapter IV of the Information Technology 

Act, 2000 (21 of 2000); or 

(d) by any other means of transmission of documents, including fax message or electronic mail 

message, as may be prescribed. 
(2) The Board may make rules providing for the addresses including the address for electronic mail or 
electronic mail message to which the communication referred to in sub-section (1) may be delivered or 
transmitted to the person named therein. 

(3)  In  this  section,  the expressions  “electronic  mail” and  “electronic  mail  message”  shall  have  the 
same  meanings as assigned  to  them  in  the Explanation to  section 66A of the Information  Technology  
Act, 2000 (21 of 2000). 

"
75,Authentication of notices and other documents,"(1) A notice or any other document required 
to be issued, served or given for the purposes of this Act by any tax authority shall be authenticated by 
that authority. 

(2) Every notice or other document to be issued, served or given for the purposes of this Act by any 
tax authority shall be deemed to be authenticated, if the name and office of a designated tax authority is 
printed, stamped or otherwise written thereon. 

(3) In this section, a designated tax authority shall mean any tax authority authorized by the Board to 
issue,  serve  or  give  such  notice  or  other  document  after  authentication  in  the  manner  as  provided  in  
sub-section (2). 

"
76,Notice  deemed  to  be  valid  in  certain  circumstances,"(1)  A  notice  which  is  required  to  be 
served upon a person for the purposes of assessment under this Act shall be deemed to have been duly 
served  upon  him  in  accordance  with  the  provisions  of  this  Act,  if  the  person  has  appeared  in  any 
proceeding or co-operated in any inquiry relating to an assessment. 

(2) The person, referred to in sub-section (1), shall be precluded from taking any objection in any 

proceeding or inquiry under this Act that the notice was— 

30 

(a) not served upon him; 
(b) not served upon him in time; or 
(c) served upon him in an improper manner. 

(3) The provisions of this section shall not apply, if the person has raised the objection before the 

completion of the assessment. 

"
77,Appearance  by  approved  valuer  in  certain  matters,"(1)  Any  assessee  who  is  entitled  or 
required  to  attend  before  any  tax  authority  or  the  Appellate  Tribunal,  in  connection  with  any  matter 
relating  to  the  valuation  of  any  asset,  may  attend  through  a  valuer  approved  by  the  Principal 
Commissioner or the Commissioner in accordance with such rules as may be prescribed. 

(2) The provisions of sub-section (1) shall not apply in a case where the assessee is required to attend 

personally for examination on oath or affirmation under section 8. 

"
78,Appearance  by  authorised  representative,"(1)  Any  assessee  who  is  entitled  or  required  to 
attend before any tax authority or the Appellate Tribunal, in connection with any proceeding under this 
Act, may attend through an authorised representative. 

(2) The provisions of sub-section (1) shall not apply in a case where the assessee is required to attend 

personally for examination on oath or affirmation under section 8. 

(3) In this section, “authorised representative” means a person authorised by the assessee in writing to 

appear on his behalf, being— 

(a)  a  person  related  to  the  assessee  in  any  manner,  or  a  person  regularly  employed  by  the 

assessee; 

(b) any officer of a scheduled bank with which the assessee maintains a current account or has 

other regular dealings; 

(c) any legal practitioner who is entitled to practice in any civil court in India; 
(d) an accountant; 
(e)  any  person  who  has  passed  any  accountancy  examination  recognised  in  this  behalf  by  the 

Board; or 

(f) any person who has acquired such educational qualifications as may be prescribed. 

(4)  The  following  persons  shall  not  be  qualified  to  represent  an  assessee  under  sub-section  (1), 

namely:— 

(a) a person who has been dismissed or removed from Government service; 
(b) a legal practitioner, or an accountant, who is found guilty of misconduct in his professional 

capacity by any authority entitled to institute disciplinary proceedings against him; 

(c) a person, not being a legal practitioner or an accountant, who is found guilty of misconduct in 

any tax proceedings by such authority as may be prescribed. 
(5)  The  Principal  Chief  Commissioner  or  the  Chief  Commissioner  may,  by  an  order  in  writing, 
specify the period upto which the disqualification under sub-section (4) shall continue, having regard to 
the nature of misconduct and such disqualification shall not exceed— 

(i) in case of clauses (a) and (c) of sub-section (4), a period of ten years; 

31 

(ii)  in  case  of  clause  (b)  of  sub-section  (4),  the  period  for  which  the  legal  practitioner  or  an 

accountant is not entitled to practice. 
(6) A person shall not be allowed to appear as an authorised representative, if he has committed any 
fraud or misrepresented the facts which resulted in loss to the revenue and that person has been declared 
as such by an order of the Principal Chief Commissioner or the Chief Commissioner. 

Explanation.—In this section, “accountant” means a chartered accountant as defined in clause (b) of 
sub-section  (1)  of  section  2  of  the  Chartered  Accountants  Act,  1949  (38  of  1949)  who  holds  a  valid 
certificate of practice under sub-section (1) of section 6 of that Act. 

79.  Rounding  off  of  income,  value  of  asset  and  tax.—(1)  The  amount  of  undisclosed  foreign 
income and asset computed in accordance with this Act shall be rounded off to the nearest multiple of one 
hundred rupees. 

(2)  Any  amount  payable  or  receivable  by  the  assessee  under  this  Act  shall  be  rounded  off  to  the 

nearest multiple of ten rupees. 

(3) The  method  of  rounding  off  under  sub-section (1)  or  sub-section  (2), shall  be  such  as  may  be 

prescribed.

"
80,Cognizance of offences,"No court inferior to that of a metropolitan magistrate or a magistrate 

of the First Class shall try any offence under this Act. 

"
81,Assessment not to be invalid on certain grounds,"No assessment, notice, summons or other 
proceedings, made or issued or taken or purported to have been made or issued or taken in pursuance of 
any of the provisions of this Act shall be invalid or shall be deemed to be invalid merely by reason of any 
mistake, defector omission in such assessment, notice, summons or other proceeding if such assessment, 
notice, summons or other proceeding is in substance and effect in conformity with or according to the 
intent and purpose of this Act. 

"
82,Bar of suits in civil courts,"(1) No suit shall be brought in any civil court to set aside or modify 

any proceeding taken or order made under this Act. 

(2) No prosecution, suit or other proceeding shall lie against the Government or any officer of the 

Government, for anything in good faith done or intended to be done, under this Act. 

83.  Income-tax  papers  to  be  available  for  purposes  of  this  Act.—Notwithstanding  anything 
contained in the Income-tax Act, all information contained in any statement or return made or furnished 
under the provisions of that Act or obtained or collected for the purposes of the said Act may be used for 
the purposes of this Act. 

84.  Application  of  provisions  of  Income-tax  Act.—The  provisions  of  clauses  (c)  and  (d)  of  
sub-section (1) of section 90, clauses (c) and (d) of sub-section (1) of section 90A, sections 119, 133, 134, 
135, 138, Chapter XV and sections 237, 240, 245, 280, 280A, 280B, 280D, 281, 281B and 284 of the 
Income-tax  Act  shall  apply  with  necessary  modifications  as  if  the said  provisions  refer to  undisclosed 
foreign income and asset instead of to income-tax. 

"
